Hash,Link,Oracle,ACID
acceb5180a6c262fcc502b7ff16fd9c708fd8eca,https://github.com/pulumi/pulumi-gcp/commit/acceb5180a6c262fcc502b7ff16fd9c708fd8eca,No Defect,No Defect
bba8ba7bff3ebecf1e23460b444a97d95f1c3a39,https://github.com/2lambda123/dotcom-rendering/commit/bba8ba7bff3ebecf1e23460b444a97d95f1c3a39,Dependency,No Defect
bcd4ee9909d396b04ad918fff7e140bd854eeb28,https://github.com/sourcegraph-testing/pulumi/commit/bcd4ee9909d396b04ad918fff7e140bd854eeb28,Idempotency,Documentation
48a1189077d2edd5d9be04eb49f52093f9bc3e01,https://github.com/pulumi/pulumi-awsx/commit/48a1189077d2edd5d9be04eb49f52093f9bc3e01,No Defect,No Defect
cb67003e23a1f359fe0a08e83fab38d5bf1276e2,https://github.com/bcgov/nr-bcws-opensearch/commit/cb67003e23a1f359fe0a08e83fab38d5bf1276e2,Configuration Data,Configuration Data
7612276ef1a82971b164712fce8f26f73cac82ef,https://github.com/NASA-IMPACT/nncpp-cumulus-deploy/commit/7612276ef1a82971b164712fce8f26f73cac82ef,Configuration Data,Documentation
af83c4d7ec0d55322f3826b2c14b035871be7ec3,https://github.com/2lambda123/checkov/commit/af83c4d7ec0d55322f3826b2c14b035871be7ec3,No Defect,No Defect
0371b61b0407893cbe456edabe56fab200f3066f,https://github.com/kharatramesh/cicdtoeks/commit/0371b61b0407893cbe456edabe56fab200f3066f,Dependency,No Defect
8f6fd48bf45aba59055e34303d0b456cf437c833,https://github.com/mitodl/ol-infrastructure/commit/8f6fd48bf45aba59055e34303d0b456cf437c833,Configuration Data,Service
51361d5e2898d4d79e68cfe0e50f1c691ae17ed8,https://github.com/mitodl/ol-infrastructure/commit/51361d5e2898d4d79e68cfe0e50f1c691ae17ed8,Configuration Data,Configuration Data
506330296e685305b9eaae5450bf616413b4ebb7,https://github.com/beautse/serverless-patterns-small-copy/commit/506330296e685305b9eaae5450bf616413b4ebb7,No Defect,No Defect
1b64b779a8d5cf651d962176c12f8ac1f6e9fe9e,https://github.com/mitodl/ol-infrastructure/commit/1b64b779a8d5cf651d962176c12f8ac1f6e9fe9e,Security,Security
fe70605ed9c06b2efd8675da5567d1dd2362986c,https://github.com/mitodl/ol-infrastructure/commit/fe70605ed9c06b2efd8675da5567d1dd2362986c,Syntax,Configuration Data
698799eab4a41d99e38753f6e9170eebf54a07a1,https://github.com/mitodl/ol-infrastructure/commit/698799eab4a41d99e38753f6e9170eebf54a07a1,Configuration Data,Configuration Data
5475a129d25740df814250cd2cf42c10e368eaaf,https://github.com/MichaelGFagan/stepfunctions_example/commit/5475a129d25740df814250cd2cf42c10e368eaaf,Configuration Data,Configuration Data
86103c65469e9009934b5a31ac04ee3f88e3bd17,https://github.com/rohankumardubey/kubernetes-operator/commit/86103c65469e9009934b5a31ac04ee3f88e3bd17,Documentation,Syntax
ea535a275570928b9546197eb8a2aa0e13e4b571,https://github.com/mitodl/ol-infrastructure/commit/ea535a275570928b9546197eb8a2aa0e13e4b571,Configuration Data,Configuration Data
7348bc0177c2a4074a224aa8b9839018fe924e4a,https://github.com/pulumi/pulumi-awsx/commit/7348bc0177c2a4074a224aa8b9839018fe924e4a,Configuration Data,Configuration Data
9464f26dacdf4d7af4d61eabda1fd7dea141e855,https://github.com/tacoinfra/teztnets/commit/9464f26dacdf4d7af4d61eabda1fd7dea141e855,Dependency,No Defect
f573c71387c1dbaea25bc3dc83a656e1f7a6092a,https://github.com/hashicorp/terraform-cdk/commit/f573c71387c1dbaea25bc3dc83a656e1f7a6092a,Documentation,Configuration Data
0420d1bcd31766b7c6696d33f6fb3d9e15e2348d,https://github.com/pulumi/pulumi-aws/commit/0420d1bcd31766b7c6696d33f6fb3d9e15e2348d,No Defect,No Defect
eb1445f057daca7472517ecd176dec8903dff87a,https://github.com/pulumi/pulumi-gcp/commit/eb1445f057daca7472517ecd176dec8903dff87a,Configuration Data,No Defect
d65b434ac2dd95d9b7b9fb356e3a4642060bcc0a,https://github.com/mitodl/ol-infrastructure/commit/d65b434ac2dd95d9b7b9fb356e3a4642060bcc0a,No Defect,No Defect
2cc7dcfa522d32fea8b02ac122a9567a332c18f0,https://github.com/shapeshift/unchained/commit/2cc7dcfa522d32fea8b02ac122a9567a332c18f0,Configuration Data,Configuration Data
5d53ae97c9a66737ae1e2610104a5d345a1559a2,https://github.com/pulumi/pulumi-yaml/commit/5d53ae97c9a66737ae1e2610104a5d345a1559a2,No Defect,Configuration Data
643f6e61843d9cd8845542129e9ad639abd42979,https://github.com/rohankumardubey/kubernetes-operator/commit/643f6e61843d9cd8845542129e9ad639abd42979,Documentation,Documentation
e2dc6dd43ee9744b0ca420911a7731306c85b823,https://github.com/mitodl/ol-infrastructure/commit/e2dc6dd43ee9744b0ca420911a7731306c85b823,Configuration Data,Configuration Data
f5f7ed9dddb025a9df10563e19236ae6968acf08,https://github.com/ovh/public-cloud-examples/commit/f5f7ed9dddb025a9df10563e19236ae6968acf08,Service,Syntax
08caca6592779bf64803bcbc65735da4578103de,https://github.com/hashicorp/terraform-cdk/commit/08caca6592779bf64803bcbc65735da4578103de,Documentation,Documentation
2dcffba5f5ef8509499cf977849be66233346d2e,https://github.com/ovh/public-cloud-examples/commit/2dcffba5f5ef8509499cf977849be66233346d2e,Configuration Data,Configuration Data
3552eaea5ee128e070a04190979ac5d7b484ec8b,https://github.com/2lambda123/dotcom-rendering/commit/3552eaea5ee128e070a04190979ac5d7b484ec8b,No Defect,No Defect
e185fa4e9b1f4710ff9502960b2fe07579174db9,https://github.com/mitodl/ol-infrastructure/commit/e185fa4e9b1f4710ff9502960b2fe07579174db9,Configuration Data,Configuration Data
4b15c4646bfe8e9844fb29ebdc68818bbb201a48,https://github.com/mynameisakash/aws-cdk-examples/commit/4b15c4646bfe8e9844fb29ebdc68818bbb201a48,No Defect,No Defect
ea9961df26ed7e9d8ae2f248875f5e0c09469641,https://github.com/hashicorp/terraform-cdk/commit/ea9961df26ed7e9d8ae2f248875f5e0c09469641,Security,Security
0f7e0a80ce28ee62ec7230a90f3e6ee57046cfa4,https://github.com/mitodl/ol-infrastructure/commit/0f7e0a80ce28ee62ec7230a90f3e6ee57046cfa4,Configuration Data,Configuration Data
cee1b30330031c2166f6337f9fb717ed74d8e314,https://github.com/MichaelGFagan/stepfunctions_example/commit/cee1b30330031c2166f6337f9fb717ed74d8e314,Service,Service
4f82a995f6c99fe65684f997b125fe1f2f535ffd,https://github.com/mitodl/ol-infrastructure/commit/4f82a995f6c99fe65684f997b125fe1f2f535ffd,Configuration Data,Conditional
9340a4d8927fbe2e3f126661daa1f94cfe382a5e,https://github.com/pulumi/pulumi-awsx/commit/9340a4d8927fbe2e3f126661daa1f94cfe382a5e,No Defect,No Defect
2d803a9b97c5dd4102b4f4041087b15d7d5f06d2,https://github.com/fujimaru707/AWS/commit/2d803a9b97c5dd4102b4f4041087b15d7d5f06d2,Syntax,Syntax
4e2a308c86798b6285c7bf5da88dd8cc316c11a8,https://github.com/pulumi/pulumi-awsx/commit/4e2a308c86798b6285c7bf5da88dd8cc316c11a8,No Defect,No Defect
f5729169bb18f9ab4847b8b30c3292b444ceba2b,https://github.com/mitodl/ol-infrastructure/commit/f5729169bb18f9ab4847b8b30c3292b444ceba2b,Configuration Data,Configuration Data
e37f5561b71661d90ea465b551f3042b2fb27e15,https://github.com/pulumi/pulumi-cloud/commit/e37f5561b71661d90ea465b551f3042b2fb27e15,Service,Configuration Data
b10987c494ad144859f884c36ce5a0a142bcf733,https://github.com/bcgov/nr-bcws-opensearch/commit/b10987c494ad144859f884c36ce5a0a142bcf733,Configuration Data,Configuration Data
47ff5624f666715850b97b340f32c435dd503907,https://github.com/mitodl/ol-infrastructure/commit/47ff5624f666715850b97b340f32c435dd503907,Configuration Data,Documentation
e1d16954fe6efeb992c679871b280da17a44e554,https://github.com/mitodl/ol-infrastructure/commit/e1d16954fe6efeb992c679871b280da17a44e554,Configuration Data,No Defect
9ee738f009ab26daf9c4205b53b097ff6fab8368,https://github.com/RKemvou/class_project1/commit/9ee738f009ab26daf9c4205b53b097ff6fab8368,Syntax,Configuration Data
5b554ca750ac5988263543b65ec415ea8581efc0,https://github.com/mitodl/ol-infrastructure/commit/5b554ca750ac5988263543b65ec415ea8581efc0,Conditional,Conditional
24762e34396d243f6cf5add5c3fc7343459c8a3f,https://github.com/balancer-labs/balancer-api/commit/24762e34396d243f6cf5add5c3fc7343459c8a3f,Service,Service
d4d9d93ed8279a41f95a0f0cef537b7b605bcef7,https://github.com/mitodl/ol-infrastructure/commit/d4d9d93ed8279a41f95a0f0cef537b7b605bcef7,Security,Configuration Data
dc0affc60528146a2b36d5234d717c826f30dae2,https://github.com/pulumi/examples/commit/dc0affc60528146a2b36d5234d717c826f30dae2,Conditional,No Defect
